source_file,which_file,key_type,key,bytes,trials,checksum_cuda,checksum_seq,time_kernel,time_memory,time_seq
tiny.data,original.data,caesar,"3",2048,5,98304,98304,0.000102,0.000018,0.000001
tiny.data,cuda.data,caesar,"3",2048,5,104448,104448,0.000091,0.000017,0.000000
tiny.data,original.data,vigenere,"5 4 12 1 14 24",2048,5,98304,98304,0.000101,0.000017,0.000000
tiny.data,cuda.data,vigenere,"5 4 12 1 14 24",2048,5,118773,118773,0.000085,0.000015,0.000000
small.data,original.data,caesar,"3",10240,5,491520,491520,0.000084,0.000027,0.000001
small.data,cuda.data,caesar,"3",10240,5,522240,522240,0.000083,0.000026,0.000001
small.data,original.data,vigenere,"5 4 12 1 14 24",10240,5,491520,491520,0.000084,0.000027,0.000001
small.data,cuda.data,vigenere,"5 4 12 1 14 24",10240,5,593902,593902,0.000086,0.000027,0.000001
medium1.data,original.data,caesar,"3",51200,5,2457600,2457600,0.000097,0.000097,0.000009
medium1.data,cuda.data,caesar,"3",51200,5,2611200,2611200,0.000084,0.000077,0.000008
medium1.data,original.data,vigenere,"5 4 12 1 14 24",51200,5,2457600,2457600,0.000081,0.000072,0.000010
medium1.data,cuda.data,vigenere,"5 4 12 1 14 24",51200,5,2969589,2969589,0.000095,0.000097,0.000011
medium2.data,original.data,caesar,"3",204800,5,9830400,9830400,0.000099,0.000258,0.000028
medium2.data,cuda.data,caesar,"3",204800,5,10444800,10444800,0.000103,0.000260,0.000028
medium2.data,original.data,vigenere,"5 4 12 1 14 24",204800,5,9830400,9830400,0.000110,0.000258,0.000034
medium2.data,cuda.data,vigenere,"5 4 12 1 14 24",204800,5,11878389,11878389,0.000116,0.000293,0.000037
large1.data,original.data,caesar,"3",1048576,5,50331648,50331648,0.000174,0.000787,0.000170
large1.data,cuda.data,caesar,"3",1048576,5,53477376,53477376,0.000174,0.000784,0.000162
large1.data,original.data,vigenere,"5 4 12 1 14 24",1048576,5,50331648,50331648,0.000172,0.000727,0.000164
large1.data,cuda.data,vigenere,"5 4 12 1 14 24",1048576,5,60817390,60817390,0.000191,0.000790,0.000162
large2.data,original.data,caesar,"3",5242880,5,251658240,251658240,0.000465,0.002211,0.001400
large2.data,cuda.data,caesar,"3",5242880,5,267386880,267386880,0.000481,0.002394,0.001383
large2.data,original.data,vigenere,"5 4 12 1 14 24",5242880,5,251658240,251658240,0.000469,0.002186,0.001400
large2.data,cuda.data,vigenere,"5 4 12 1 14 24",5242880,5,304087029,304087029,0.000464,0.002186,0.001405
huge1.data,original.data,caesar,"3",52428800,5,2516582400,2516582400,0.003740,0.018207,0.015205
huge1.data,cuda.data,caesar,"3",52428800,5,2673868800,2673868800,0.003736,0.018082,0.015194
huge1.data,original.data,vigenere,"5 4 12 1 14 24",52428800,5,2516582400,2516582400,0.003818,0.020617,0.015571
huge1.data,cuda.data,vigenere,"5 4 12 1 14 24",52428800,5,3040870389,3040870389,0.003738,0.018129,0.015203
huge2.data,original.data,caesar,"3",524857600,5,3718328320,3718328320,0.033351,0.587762,0.198115
huge2.data,cuda.data,caesar,"3",524857600,5,997933824,997933824,0.029487,0.595506,0.153482
huge2.data,original.data,vigenere,"5 4 12 1 14 24",524857600,5,3718328320,3718328320,0.030832,0.595722,0.156094
huge2.data,cuda.data,vigenere,"5 4 12 1 14 24",524857600,5,376969710,376969710,0.032187,0.643475,0.167626
